"COUNTRY","Country","DAGEGR","Age groups","DSEX","Gender","DSTATUS","Status of population","YEAR","Year","Value","Flag Codes","Flags"
"AUS","Australia","1010","10 years","1","Males","90","All population","2002","2002",141066,,
"AUS","Australia","1010","10 years","1","Males","90","All population","2003","2003",141142,,
"AUS","Australia","1010","10 years","1","Males","90","All population","2004","2004",141650,,
"AUS","Australia","1010","10 years","1","Males","90","All population","2005","2005",141954,,
"AUS","Australia","1010","10 years","1","Males","90","All population","2006","2006",139860,,
"AUS","Australia","1010","10 years","1","Males","90","All population","2007","2007",140623,,
"AUS","Australia","1010","10 years","1","Males","90","All population","2008","2008",140663,,
"AUS","Australia","1010","10 years","1","Males","90","All population","2009","2009",141696,,
"AUS","Australia","1010","10 years","1","Males","90","All population","2010","2010",142633,,
"AUS","Australia","1010","10 years","1","Males","90","All population","2011","2011",142815,,
"AUS","Australia","1010","10 years","1","Males","90","All population","2012","2012",138989,,
"AUS","Australia","1010","10 years","2","Females","90","All population","2002","2002",134307,,
"AUS","Australia","1010","10 years","2","Females","90","All population","2003","2003",133930,,
"AUS","Australia","1010","10 years","2","Females","90","All population","2004","2004",133615,,
"AUS","Australia","1010","10 years","2","Females","90","All population","2005","2005",134872,,
"AUS","Australia","1010","10 years","2","Females","90","All population","2006","2006",132414,,
"AUS","Australia","1010","10 years","2","Females","90","All population","2007","2007",133527,,
"AUS","Australia","1010","10 years","2","Females","90","All population","2008","2008",133346,,
"AUS","Australia","1010","10 years","2","Females","90","All population","2009","2009",134823,,
"AUS","Australia","1010","10 years","2","Females","90","All population","2010","2010",136062,,
"AUS","Australia","1010","10 years","2","Females","90","All population","2011","2011",135675,,
"AUS","Australia","1010","10 years","2","Females","90","All population","2012","2012",132427,,
"AUS","Australia","1014","10-14 years","1","Males","90","All population","2002","2002",700013,,
"AUS","Australia","1014","10-14 years","1","Males","90","All population","2003","2003",707035,,
"AUS","Australia","1014","10-14 years","1","Males","90","All population","2004","2004",711924,,
"AUS","Australia","1014","10-14 years","1","Males","90","All population","2005","2005",715346,,
"AUS","Australia","1014","10-14 years","1","Males","90","All population","2006","2006",714009,,
"AUS","Australia","1014","10-14 years","1","Males","90","All population","2007","2007",718848,,
"AUS","Australia","1014","10-14 years","1","Males","90","All population","2008","2008",719870,,
"AUS","Australia","1014","10-14 years","1","Males","90","All population","2009","2009",720782,,
"AUS","Australia","1014","10-14 years","1","Males","90","All population","2010","2010",719763,,
"AUS","Australia","1014","10-14 years","1","Males","90","All population","2011","2011",720348,,
"AUS","Australia","1014","10-14 years","1","Males","90","All population","2012","2012",708804,,
"AUS","Australia","1014","10-14 years","2","Females","90","All population","2002","2002",666903,,
"AUS","Australia","1014","10-14 years","2","Females","90","All population","2003","2003",672422,,
"AUS","Australia","1014","10-14 years","2","Females","90","All population","2004","2004",675561,,
"AUS","Australia","1014","10-14 years","2","Females","90","All population","2005","2005",678685,,
"AUS","Australia","1014","10-14 years","2","Females","90","All population","2006","2006",676901,,
"AUS","Australia","1014","10-14 years","2","Females","90","All population","2007","2007",681637,,
"AUS","Australia","1014","10-14 years","2","Females","90","All population","2008","2008",682444,,
"AUS","Australia","1014","10-14 years","2","Females","90","All population","2009","2009",684214,,
"AUS","Australia","1014","10-14 years","2","Females","90","All population","2010","2010",684015,,
"AUS","Australia","1014","10-14 years","2","Females","90","All population","2011","2011",684836,,
"AUS","Australia","1014","10-14 years","2","Females","90","All population","2012","2012",673832,,
"AUS","Australia","1111","11 years","1","Males","90","All population","2002","2002",141966,,
"AUS","Australia","1111","11 years","1","Males","90","All population","2003","2003",141828,,
"AUS","Australia","1111","11 years","1","Males","90","All population","2004","2004",141887,,
"AUS","Australia","1111","11 years","1","Males","90","All population","2005","2005",142638,,
"AUS","Australia","1111","11 years","1","Males","90","All population","2006","2006",142867,,
"AUS","Australia","1111","11 years","1","Males","90","All population","2007","2007",141952,,
"AUS","Australia","1111","11 years","1","Males","90","All population","2008","2008",142213,,
"AUS","Australia","1111","11 years","1","Males","90","All population","2009","2009",142238,,
"AUS","Australia","1111","11 years","1","Males","90","All population","2010","2010",142861,,
"AUS","Australia","1111","11 years","1","Males","90","All population","2011","2011",143673,,
"AUS","Australia","1111","11 years","1","Males","90","All population","2012","2012",141686,,
"AUS","Australia","1111","11 years","2","Females","90","All population","2002","2002",135001,,
"AUS","Australia","1111","11 years","2","Females","90","All population","2003","2003",135108,,
"AUS","Australia","1111","11 years","2","Females","90","All population","2004","2004",134576,,
"AUS","Australia","1111","11 years","2","Females","90","All population","2005","2005",134410,,
"AUS","Australia","1111","11 years","2","Females","90","All population","2006","2006",135690,,
